#L2 Errors data generated on 2016-08-15 0:56
#n=21
#rho=1, gamma=0.1
#M=0, N=0
#phib_W=1.0, phib_E=0.0
#xsi=6.11509525447 (average best)
#v        LDS          UWS        HYB        CAI
0.10   3.0954e-04  1.9352e-03  3.0954e-04  7.3133e-07  
0.20   7.4933e-04  6.6334e-03  7.4933e-04  3.5793e-06  
0.30   1.3655e-03  1.2147e-02  1.3655e-03  1.0141e-05  
0.40   2.1388e-03  1.7085e-02  2.1388e-03  2.1572e-05  
0.50   3.0338e-03  2.0956e-02  3.0338e-03  3.8070e-05  
0.60   4.0241e-03  2.3831e-02  4.0241e-03  5.9535e-05  
0.70   5.0961e-03  2.5963e-02  5.0961e-03  8.6041e-05  
0.80   6.2433e-03  2.7590e-02  6.2433e-03  1.1786e-04  
0.90   7.4627e-03  2.8883e-02  7.4627e-03  1.5531e-04  
1.00   8.7520e-03  2.9950e-02  8.7520e-03  1.9869e-04  
1.10   1.0109e-02  3.0856e-02  1.0109e-02  2.4820e-04  
1.20   1.1532e-02  3.1643e-02  1.1532e-02  3.0398e-04  
1.30   1.3020e-02  3.2336e-02  1.3020e-02  3.6606e-04  
1.40   1.4570e-02  3.2952e-02  1.4570e-02  4.3445e-04  
1.50   1.6182e-02  3.3504e-02  1.6182e-02  5.0908e-04  
1.60   1.7854e-02  3.4002e-02  1.7854e-02  5.8983e-04  
1.70   1.9585e-02  3.4453e-02  1.9585e-02  6.7654e-04  
1.80   2.1374e-02  3.4863e-02  2.1374e-02  7.6903e-04  
1.90   2.3221e-02  3.5237e-02  2.3221e-02  8.6705e-04  
2.00   2.5125e-02  3.5581e-02  2.5125e-02  9.7036e-04  
2.10   2.7086e-02  3.5898e-02  2.7086e-02  1.0787e-03  
2.20   2.9102e-02  3.6191e-02  2.9102e-02  1.1917e-03  
2.30   3.1175e-02  3.6465e-02  3.1175e-02  1.3091e-03  
2.40   3.3303e-02  3.6721e-02  3.3303e-02  1.4305e-03  
2.50   3.5486e-02  3.6962e-02  3.5486e-02  1.5556e-03  
2.60   3.7725e-02  3.7190e-02  3.7725e-02  1.6841e-03  
2.70   4.0018e-02  3.7408e-02  4.0018e-02  1.8155e-03  
2.80   4.2367e-02  3.7616e-02  4.2367e-02  1.9496e-03  
2.90   4.4771e-02  3.7817e-02  4.4771e-02  2.0859e-03  
3.00   4.7229e-02  3.8012e-02  4.7229e-02  2.2241e-03  
3.10   4.9743e-02  3.8202e-02  4.9743e-02  2.3639e-03  
3.20   5.2311e-02  3.8387e-02  5.2311e-02  2.5048e-03  
3.30   5.4934e-02  3.8569e-02  5.4934e-02  2.6467e-03  
3.40   5.7613e-02  3.8749e-02  5.7613e-02  2.7891e-03  
3.50   6.0346e-02  3.8927e-02  6.0346e-02  2.9317e-03  
3.60   6.3135e-02  3.9103e-02  6.3135e-02  3.0742e-03  
3.70   6.5978e-02  3.9279e-02  6.5978e-02  3.2164e-03  
3.80   6.8877e-02  3.9454e-02  6.8877e-02  3.3579e-03  
3.90   7.1831e-02  3.9628e-02  7.1831e-02  3.4985e-03  
4.00   7.4840e-02  3.9802e-02  7.4840e-02  3.6380e-03  
